donorID,donated,proba donated
107433,0,0.6342312639521939
107104,0,0.4726570828174958
117952,0,0.3977098078378123
132549,0,0.3878593502923214
105072,0,0.3610750332824059
113045,0,0.3499780025157782
129862,0,0.32839416525305765
137077,0,0.3251120199559364
108660,0,0.32032725990139754
114818,0,0.31806944917825175
111842,0,0.30426309065160423
102183,0,0.27911094044005025
135651,0,0.27428574426056374
110997,0,0.2682337026908202
126810,0,0.2660272009660686
106603,0,0.2645574490990209
101490,0,0.2527518749275736
104303,0,0.2525459121988517
102236,0,0.24867601574777645
119119,0,0.23844465261699738
116610,0,0.2305329464009577
136940,0,0.22492735727492663
142177,0,0.2244437440696865
116478,0,0.22306039104274403
140920,0,0.221099452167808
136955,0,0.21961950808386438
123409,0,0.21878635182530168
142106,0,0.21811453374108195
112977,0,0.21401554654034136
121455,0,0.21370216795252342
123723,0,0.2077551444026814
144410,0,0.20769860520193348
102426,0,0.20763339117615856
110814,0,0.20758213984102486
113753,0,0.20541174001858117
108957,0,0.20479168925533323
124700,0,0.20264594170887354
106965,0,0.1959727067413638
125961,0,0.19227308264383985
135535,0,0.18690834422875055
101775,0,0.18681670645157195
122781,0,0.18635256005268505
105186,0,0.18418068507209062
140258,0,0.18238284075816336
112074,0,0.17984718655593956
106427,0,0.1796552465826903
135698,0,0.17845612056267546
122234,0,0.17807741003680005
103607,0,0.1772858511503669
138342,0,0.17704888710600908
100671,0,0.1752147299051267
120499,0,0.1751740797434289
118611,0,0.17442389241689155
128142,0,0.17394264969567347
122402,0,0.17357018403560912
114158,0,0.17285856510056719
136791,0,0.17204832625458882
132416,0,0.17147310641949073
104776,0,0.17022858137637117
111372,0,0.17022147133515492
117997,0,0.1689305713841143
126680,0,0.1679110989391319
107961,0,0.16772831959989373
113149,0,0.16739511690221273
111093,0,0.1661186159180912
138199,0,0.16501848555374513
138325,0,0.16480320291022332
112419,0,0.16392017431693437
116268,0,0.1624219439554546
108307,0,0.16222172210874444
104658,0,0.16094384661000785
119582,0,0.16061895759983344
107195,0,0.16052240319129554
101380,0,0.1600017976819148
116803,0,0.1596737206927562
126640,0,0.1562333996011483
108837,0,0.15616746782504132
118274,0,0.15581635569167027
108849,0,0.1557850471156577
103308,0,0.15473834853367968
132358,0,0.15400126576118037
118652,0,0.15174204056908086
109792,0,0.15163298079734616
141635,0,0.15138354240735885
121035,0,0.14949810351124718
103045,0,0.14824181881673384
123023,0,0.14758849049856607
133885,0,0.14745448677220394
106727,0,0.14740744676375764
112862,0,0.14730658123014742
127568,0,0.14722165151649996
101018,0,0.1463565538847792
101431,0,0.1461620302673309
100004,0,0.14613390824168893
135801,0,0.1460997257679108
141899,0,0.1455714258024857
118624,0,0.14548449880856992
103120,0,0.1450824728256786
127631,0,0.14466333073359705
143342,0,0.1446001410708518
128694,0,0.1433452077067175
107751,0,0.14332713150809828
124615,0,0.142998262979522
104397,0,0.14221164215777563
105045,0,0.142127739463614
140358,0,0.1412827430369883
119242,0,0.14122150678785894
117034,0,0.14120564287046156
104935,0,0.14112435435090276
137874,0,0.14061643976811464
144386,0,0.13947999536294614
